Title;Author;Publisher;ReadSituation;Owner
Cahil Hoca;Jacques Ranciere;Metis Yayýnlarý;To-Read;Ege Balçýk
Tahýla Karþý;James C. Scott;Küy;To-Read;Ege Balçýk
Gurur ve Önyargý;Jane Austen;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Sense and Sensibility;Jane Austen;Macmillan;Read;Ege Balçýk
Üçüncü Þempanze;Jared Diamond;Alfa;To-Read;Ege Balçýk
Tüfek, Mikrop ve Çelik;Jared Diamond;Pegasus Yayýnlarý;To-Read;Ege Balçýk
Eski Türk Mitolojisi;Jean-Paul Roux;Bilgesu Yayýnlarý;To-Read;Ege Balçýk
Kara Örümcek;Jeremias Gotthelf;Ýthaki;To-Read;Ege Balçýk
Ýtfaiyeci;Joe Hill;Ýthaki;To-Read;Ege Balçýk
Þe7t4n;Joe Hill;Ýthaki;To-Read;Ege Balçýk
Doðanýn Düþmaný;Joel Kovel;Metis Yayýnlarý;To-Read;Ege Balçýk
Ortaçaðýn Sonbaharý;Johan Huizinga;Alfa;To-Read;Ege Balçýk
Genç Werther'in Acýlarý;Johann Wolfgang von Goethe;Can Yayýnlarý;Read;Ege Balçýk
Faust;Johann Wolfgang von Goethe;Islýk;Read;Ege Balçýk
The Boy In The Striped Pyjamas;John Boyne;Black Swan;Read;Ege Balçýk
Para Üzerine Bir Ýnceleme;John Maynard Keynes;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Bilinmeyen Bir Tanrýya;John Steinbeck;Bilgi Yayýnevi;To-Read;Ege Balçýk
Ýnci;John Steinbeck;Sel Yayýncýlýk;Read;Ege Balçýk
Gazap Üzümleri;John Steinbeck;Sel Yayýncýlýk;Read;Ege Balçýk
Vampir;John William Polidori;Ýthaki;To-Read;Ege Balçýk
Balýklarýn Bildikleri;Jonathan Balcombe;Metis Yayýnlarý;To-Read;Ege Balçýk
Gulliver Cüceler Ülkesinde;Jonathan Swift;Cumhuriyet;Read;Ege Balçýk
Körlük;Jose Saramago;Kýrmýzýkedi;To-Read;Ege Balçýk
Görmek;Jose Saramago;Kýrmýzýkedi;To-Read;Ege Balçýk
Feminist Teori;Josephine Donovan;Ýletiþim;To-Read;Ege Balçýk
Simone De Beauvoir Aramýzda;Julia Kristeva;Sel Yayýncýlýk;To-Read;Ege Balçýk
Tavan Arasýndaki Buda;Julie Otsuka;Domingo Yayýnlarý;Read;Ege Balçýk
Daraðacýndan Notlar;Julius Fucik;Yordam;Read;Ege Balçýk
Tanrýnýn Tarihi;Karen Armstrong;Pegasus Yayýnlarý;To-Read;Ege Balçýk
Devlet ve Hukuk;Karl Marx-Friedrich Engels;Ayrýntý;To-Read;Ege Balçýk
Ekonomi Kitabý;Karma;Alfa;To-Read;Ege Balçýk
Feminizm Kitabý;Karma;Alfa;To-Read;Ege Balçýk
1918 Sovyet Anayasasý;Karma;Ceylan;Read;Ege Balçýk
Modern Türkiye'de Siyasi Düþünce 8-Sol;Karma;Ýletiþim;To-Read;Ege Balçýk
Modern Türkiye'de Siyasi Düþünce 10-Feminizm;Karma;Ýletiþim;To-Read;Ege Balçýk
Küreselleþme Çaðýnda Göç;Karma;Ýletiþim;To-Read;Ege Balçýk
Son Gerisayým: Avrupa, Mülteciler ve Sol;Karma;Metis Yayýnlarý;To-Read;Ege Balçýk
Komünizm Fikri;Karma;Metis Yayýnlarý;To-Read;Ege Balçýk
Gaflet;Karma;Metis Yayýnlarý;To-Read;Ege Balçýk
Raký Ansiklopedisi;Karma;Overteam Yayýncýlýk;To-Read;Ege Balçýk
Sosyalizm 101;Kathleen Sears;Say Yayýnlarý;To-Read;Ege Balçýk
Mitoloji 101;Kathleen Sears;Say Yayýnlarý;To-Read;Ege Balçýk
